Origin,Origin_Population,Destination,Uses_Public_Transport,FromStopPointNo,ToStopPointNo,Access_Time_Minutes,Egress_Time_Minutes,Access_Distance_Meters,Egress_Distance_Meters,Mejor_JRT,Mejor_NTR,Mejor_RIT,Mejor_ACT,Mejor_EGT,Mejor_ACD,Mejor_EGD,Mejor_SFQ,Mejor_JRD,Mejor_RID,Mejor_TWT
150,93.0,662,True,1025.0,1029.0,21.268440565,1.02471803,1701.4752452,81.9774424,24.7,0.0,3.68,19.43,1.58,1.296,0.106,9.0,5.099,3.698,0.0
151,115.0,609,True,832.0,364.0,7.4525528925,1.090455565,596.2042314,87.2364452,8.28,0.0,3.6,3.48,1.2,0.232,0.08,84.0,2.34,2.027,0.0
152,138.0,675,False,,,449.40270221749995,0.0,35952.2161774,0.0,10.42,0.0,0.0,4.9,5.52,0.326,0.368,0.0,0.694,0.0,0.0
153,20.0,623,True,1537.0,1544.0,21.35596018375,0.7662784525,1708.4768147,61.3022762,25.9,0.0,7.8,17.72,0.38,1.181,0.026,32.0,7.295,6.089,0.0
154,6578.0,646,True,1484.0,1485.0,3.74294118125,5.1352936225,299.4352945,410.8234898,8.8,0.0,0.52,3.98,4.3,0.265,0.287,6.0,1.14,0.587,0.0
155,1589.0,702,True,1647.0,1648.0,3.451545445,1.312551295,276.1236356,105.0041036,6.38,0.0,2.67,2.33,1.38,0.156,0.093,21.0,1.136,0.888,0.0
156,418.0,574,True,437.0,495.0,2.08870254125,0.8581321412499999,167.0962033,68.6505713,4.82,0.0,2.83,1.4,0.58,0.093,0.039,67.0,2.371,2.239,0.0
157,988.0,647,True,1810.0,97.0,9.206799278750001,2.5614928262500003,736.5439423,204.9194261,6.82,0.0,0.88,3.88,2.05,0.259,0.137,68.0,0.931,0.535,0.0
158,441.0,593,False,,,727.89306258,0.0,58231.4450064,0.0,38.17,0.0,0.0,36.07,2.1,2.405,0.14,0.0,2.545,0.0,0.0
159,89.0,655,False,,,370.021085095,0.0,29601.6868076,0.0,1.77,0.0,0.0,1.65,0.12,0.11,0.007,0.0,0.117,0.0,0.0
160,311.0,680,False,,,7.05,0.0,,0.0,7.05,0.0,0.0,4.23,2.82,0.282,0.187,0.0,0.469,0.0,0.0
161,37.0,708,True,1329.0,1331.0,2.1405708275,0.45029154250000003,171.2456662,36.0233234,4.22,0.0,2.38,1.48,0.35,0.099,0.023,10.0,1.513,1.391,0.0
162,15615.0,577,True,1420.0,1446.0,2.4948969174999998,5.18588491375,199.5917534,414.8707931,7.33,0.0,0.05,2.78,4.5,0.185,0.3,16.0,0.534,0.048,0.0
163,33.0,636,False,,,416.32930592,0.0,33306.3444736,0.0,13.82,0.0,0.0,11.03,2.78,0.736,0.185,0.0,0.921,0.0,0.0
164,64.0,583,True,1538.0,1531.0,20.55125377125,1.1259827274999998,1644.1003017,90.0786182,13.12,0.0,5.52,6.85,0.75,0.456,0.05,47.0,4.195,3.688,0.0
165,324.0,601,False,,,96.03511156125,0.0,7682.8089249,0.0,44.93,0.0,0.0,41.37,3.57,2.758,0.238,0.0,2.996,0.0,0.0
166,2512.0,529,False,,,397.595282575,0.0,31807.622606,0.0,1.72,0.0,0.0,1.23,0.48,0.083,0.032,0.0,0.115,0.0,0.0
167,905.0,638,False,,,856.3043516387501,0.0,68504.3481311,0.0,1.57,0.0,0.0,0.75,0.82,0.05,0.055,0.0,0.105,0.0,0.0
168,73.0,685,True,1163.0,1706.0,41.86090208,0.88402311375,3348.8721664,70.7218491,33.08,0.0,8.3,24.28,0.5,1.618,0.034,2.0,6.414,4.762,0.0
169,21.0,630,False,,,424.74577257375006,0.0,33979.6618059,0.0,7.25,0.0,0.0,5.53,1.72,0.369,0.114,0.0,0.483,0.0,0.0
170,956.0,589,True,38.0,39.0,2.87537786,4.869864615,230.0302288,389.5891692,5.03,0.0,0.53,2.32,2.18,0.154,0.146,5.0,0.622,0.322,0.0
171,76.0,675,True,1391.0,1392.0,2.0090536749999997,6.75391609125,160.724294,540.3132873,8.62,0.0,0.85,2.25,5.52,0.15,0.368,61.0,1.169,0.651,0.0
172,74.0,562,True,1072.0,1682.0,32.71463937,0.97086121625,2617.1711496,77.6688973,21.37,0.0,2.47,18.15,0.75,1.21,0.049,18.0,3.712,2.452,0.0
173,244.0,562,True,337766.0,262540.0,8.10037708875,2.89121662125,648.0301671,231.2973297,13.75,0.0,3.37,8.38,2.0,0.558,0.134,31.0,4.747,4.056,0.0
174,66.0,662,True,1025.0,1029.0,56.124684975,1.02471803,4489.974798,81.9774424,60.93,0.0,3.68,55.67,1.58,3.711,0.106,9.0,7.515,3.698,0.0
175,25.0,652,False,,,526.7273978037499,0.0,42138.1918243,0.0,8.28,0.0,0.0,7.62,0.67,0.508,0.044,0.0,0.552,0.0,0.0
176,183.0,609,True,606.0,369.0,1.31248674125,1.2958927075,104.9989393,103.6714166,7.35,0.0,4.25,1.9,1.2,0.127,0.08,82.0,2.729,2.522,0.0
177,4142.0,579,False,,,56.63100976,0.0,4530.4807808,0.0,2.95,0.0,0.0,1.42,1.53,0.095,0.103,0.0,0.198,0.0,0.0
178,20.0,692,True,1554.0,1570.0,33.52774266875,,2682.2194135,,40.07,0.0,5.03,32.57,2.47,2.172,0.164,4.0,6.72,4.384,0.0
179,268.0,694,True,2091.0,2094.0,4.595080433750001,2.64777834875,367.6064347,211.8222679,8.65,0.0,2.65,4.17,1.83,0.278,0.123,68.0,1.825,1.425,0.0
180,135.0,575,True,1427.0,1428.0,44.99496990125,0.6867710524999999,3599.5975921,54.9416842,44.27,0.0,2.07,41.28,0.92,2.752,0.061,65.0,4.286,1.473,0.0
181,798.0,677,False,,,437.56583467999997,0.0,35005.2667744,0.0,4.4,0.0,0.0,2.23,2.17,0.149,0.145,0.0,0.294,0.0,0.0
182,467.0,623,True,1543.0,1544.0,1.0290900575,0.7662784525,82.3272046,61.3022762,2.57,0.0,0.8,1.38,0.38,0.092,0.026,33.0,0.914,0.797,0.0
183,37.0,590,True,1043.0,220863.0,1.25764210625,1.43194523875,100.6113685,114.5556191,3.52,0.0,2.43,0.68,0.4,0.045,0.027,9.0,3.555,3.483,0.0
184,32.0,704,False,,,907.70822876,0.0,72616.6583008,0.0,20.3,0.0,0.0,19.27,1.03,1.285,0.069,0.0,1.353,0.0,0.0
185,33.0,646,True,1484.0,1485.0,19.31415830375,5.1352936225,1545.1326643,410.8234898,24.6,0.0,0.52,19.78,4.3,1.319,0.287,33.0,2.193,0.587,0.0
186,27.0,593,True,1518.0,978.0,25.58482901375,1.9945926925,2046.7863211,159.5674154,31.05,0.0,11.27,17.68,2.1,1.179,0.14,16.0,9.833,8.514,0.0
187,12756.0,529,True,97207.0,1689.0,4.9578120275,0.7462701862500001,396.6249622,59.7016149,4.2,0.0,0.98,2.73,0.48,0.182,0.032,23.0,1.0,0.786,0.0
188,25.0,687,False,,,725.3478044425,0.0,58027.8243554,0.0,7.22,0.0,0.0,6.1,1.12,0.407,0.075,0.0,0.482,0.0,0.0
189,953.0,633,True,1139.0,1142.0,4.40607531625,3.14078673875,352.4860253,251.2629391,9.72,0.0,2.82,3.55,3.35,0.237,0.224,18.0,2.234,1.774,0.0
190,387.0,634,True,2158.0,2161.0,12.45667401875,3.18961121375,996.5339215,255.1688971,17.83,0.0,2.2,13.15,2.48,0.876,0.166,17.0,2.612,1.57,0.0
191,230.0,633,False,,,540.93840524625,0.0,43275.0724197,0.0,5.2,0.0,0.0,3.33,1.87,0.222,0.124,0.0,0.346,0.0,0.0
192,27.0,665,True,21786.0,1417.0,41.72898679,1.6451094412500002,3338.3189432,131.6087553,22.25,0.0,1.3,19.92,1.03,1.328,0.068,33.0,2.133,0.737,0.0
193,22.0,699,True,2182.0,2185.0,42.45288533375,3.26686051625,3396.2308267,261.3488413,20.58,0.0,0.85,15.4,4.33,1.027,0.288,7.0,2.268,0.953,0.0
194,23.0,631,True,733.0,806.0,37.8177963525,3.05929863875,3025.4237082,244.7438911,38.37,0.0,5.7,29.22,3.45,1.948,0.23,13.0,6.617,4.438,0.0
195,50.0,689,True,1013.0,1016.0,20.35921589625,1.48626862375,1628.7372717,118.9014899,20.27,0.0,4.42,14.22,1.63,0.948,0.108,55.0,5.509,4.452,0.0
196,1819.0,661,True,629.0,630.0,0.81419627,0.6761474825,65.1357016,54.0917986,2.97,0.0,1.33,0.83,0.8,0.056,0.053,45.0,1.175,1.066,0.0
197,53.0,676,True,2112.0,2111.0,8.9013141825,2.9523678912499998,712.1051346,236.1894313,9.93,0.0,0.52,6.73,2.68,0.448,0.179,25.0,1.198,0.57,0.0
198,140.0,645,False,,,224.85510452875002,0.0,17988.4083623,0.0,6.85,0.0,0.0,6.42,0.43,0.428,0.029,0.0,0.457,0.0,0.0
199,23.0,645,False,,,250.5911249,0.0,20047.289992,0.0,20.35,0.0,0.0,19.92,0.43,1.328,0.029,0.0,1.357,0.0,0.0
200,10.0,641,True,744.0,750.0,12.93427481375,2.82428233625,1034.7419851,225.9425869,24.33,0.0,6.93,14.07,3.33,0.937,0.222,7.0,6.682,5.523,0.0
201,129.0,565,True,677.0,1780.0,0.9486408512500001,11.51137806,75.8912681,920.9102448,11.13,0.0,7.03,1.23,2.87,0.083,0.191,39.0,5.632,5.358,0.0
202,465.0,630,False,,,419.00956137875,0.0,33520.7649103,0.0,2.95,0.0,0.0,1.23,1.72,0.083,0.114,0.0,0.197,0.0,0.0
203,41.0,707,True,1936.0,1553.0,8.878640891249999,2.0326807912500002,710.2912713,162.6144633,6.07,0.0,0.67,4.27,1.13,0.285,0.076,32.0,1.064,0.703,0.0
204,183.0,636,False,,,424.98356024375,0.0,33998.6848195,0.0,10.85,0.0,0.0,8.07,2.78,0.538,0.185,0.0,0.723,0.0,0.0
205,107.0,692,True,1554.0,1570.0,5.08054823375,,406.4438587,,10.65,0.0,5.03,3.15,2.47,0.21,0.164,4.0,4.759,4.384,0.0
206,30.0,689,True,1013.0,1016.0,40.10720867625,1.48626862375,3208.5766941,118.9014899,36.52,0.0,4.42,30.47,1.63,2.031,0.108,55.0,6.592,4.452,0.0
207,18.0,658,True,1241.0,1242.0,80.33740801500001,1.19257328875,6426.9926412,95.4058631,68.08,0.0,0.88,65.68,1.52,4.379,0.102,8.0,5.013,0.532,0.0
208,29.0,642,True,2192.0,1973.0,6.9716527825,2.5938804625,557.7322226,207.510437,9.3,0.0,5.12,2.12,2.07,0.141,0.137,15.0,4.432,4.153,0.0
209,11.0,642,True,1662.0,1972.0,38.94036446,2.20204750125,3115.2291568,176.1638001,26.15,0.0,1.25,23.25,1.65,1.55,0.11,15.0,2.481,0.82,0.0
210,1752.0,675,True,1391.0,1392.0,4.44348512875,6.75391609125,355.4788103,540.3132873,10.03,0.0,0.85,3.67,5.52,0.244,0.368,61.0,1.263,0.651,0.0
211,92.0,707,True,33541.0,1520.0,40.26613425,2.40422720125,3221.29074,192.3381761,35.27,0.0,1.5,32.75,1.02,2.183,0.068,35.0,3.949,1.697,0.0
212,116.0,659,True,929.0,935.0,8.35434202375,1.3154428062499999,668.3473619,105.2354245,9.45,0.0,4.0,4.42,1.03,0.294,0.069,17.0,3.976,3.612,0.0
213,798.0,617,False,,,154.67251073625,0.0,12373.8008589,0.0,6.4,0.0,0.0,4.95,1.45,0.33,0.097,0.0,0.427,0.0,0.0
214,26.0,657,True,1299.0,1060.0,2.936338025,1.86503011625,234.907042,149.2024093,7.7,0.0,2.78,2.27,2.65,0.151,0.177,5.0,2.174,1.846,0.0
215,338.0,664,False,,,855.2843943149999,0.0,68422.7515452,0.0,1.87,0.0,0.0,1.43,0.43,0.096,0.029,0.0,0.125,0.0,0.0
216,972.0,676,True,2106.0,2116.0,95.3679366425,3.05190529625,7629.4349314,244.1524237,27.95,0.0,2.67,22.5,2.78,1.5,0.185,19.0,4.11,2.424,0.0
217,31.0,590,True,989.0,220863.0,19.85912318,1.43194523875,1588.7298544,114.5556191,20.75,0.0,3.67,16.68,0.4,1.112,0.027,17.0,4.704,3.566,0.0
218,769.0,589,False,,,75.21724394125,0.0,6017.3795153,0.0,5.9,0.0,0.0,2.72,3.18,0.181,0.212,0.0,0.393,0.0,0.0
219,38.0,675,True,1390.0,1392.0,13.005274505,6.75391609125,1040.4219604,540.3132873,15.4,0.0,2.03,7.85,5.52,0.524,0.368,80.0,2.261,1.369,0.0
220,2874.0,665,False,,,648.59397325875,0.0,51887.5178607,0.0,3.02,0.0,0.0,0.78,2.23,0.052,0.149,0.0,0.2,0.0,0.0
221,101.0,666,False,,,674.4059293675,0.0,53952.4743494,0.0,0.93,0.0,0.0,0.58,0.35,0.039,0.023,0.0,0.062,0.0,0.0
222,143.0,636,False,,,426.697617215,0.0,34135.8093772,0.0,9.73,0.0,0.0,6.95,2.78,0.463,0.185,0.0,0.649,0.0,0.0
223,61.0,529,True,1018.0,1689.0,16.1113813975,0.7462701862500001,1288.9105118,59.7016149,17.95,0.0,2.1,15.37,0.48,1.025,0.032,50.0,2.678,1.622,0.0
224,78.0,709,True,754.0,545.0,15.484956593749999,3.68897219,1238.7965275,295.1177752,6.75,0.0,0.43,5.85,0.47,0.39,0.031,33.0,1.029,0.608,0.0
225,206.0,657,True,1022.0,1023.0,5.1278937175,2.7026800362500003,410.2314974,216.2144029,9.88,0.0,1.5,5.38,3.0,0.359,0.2,14.0,1.689,1.131,0.0
226,945.0,563,False,,,298.03687113,0.0,23842.9496904,0.0,6.48,0.0,0.0,6.32,0.17,0.422,0.011,0.0,0.433,0.0,0.0
227,5717.0,578,False,,,232.36752444375003,0.0,18589.4019555,0.0,12.32,0.0,0.0,8.37,3.95,0.558,0.263,0.0,0.821,0.0,0.0
228,21062.0,511,True,1991.0,1993.0,5.70738783125,0.91754787125,456.5910265,73.4038297,5.33,0.0,0.68,4.03,0.62,0.269,0.041,157.0,0.684,0.374,0.0
229,43.0,590,False,,,706.54248353375,0.0,56523.3986827,0.0,15.4,0.0,0.0,15.0,0.4,1.0,0.027,0.0,1.027,0.0,0.0
230,49.0,654,True,1733.0,1739.0,38.940762451249995,1.9628079762500001,3115.2609961,157.0246381,15.22,0.0,5.68,7.63,1.9,0.509,0.127,6.0,3.29,2.654,0.0
231,445.0,667,False,,,190.72801249875,0.0,15258.2409999,0.0,4.2,0.0,0.0,1.68,2.52,0.112,0.168,0.0,0.28,0.0,0.0
232,340.0,598,True,547.0,548.0,4.46242335875,1.1167382887500001,356.9938687,89.3390631,8.8,0.0,4.37,3.58,0.85,0.238,0.057,46.0,4.18,3.884,0.0
233,76.0,673,True,598.0,599.0,14.87300048875,1.7297775524999999,1189.8400391,138.3822042,13.53,0.0,0.85,11.18,1.5,0.746,0.1,92.0,1.44,0.594,0.0
234,878.0,696,False,,,4.3541858,0.0,348.334864,0.0,3.75,0.0,0.0,1.15,2.6,0.076,0.173,0.0,0.249,0.0,0.0
235,14.0,641,True,758.0,750.0,60.49891498875,2.82428233625,4839.9131991,225.9425869,40.5,0.0,2.1,35.07,3.33,2.338,0.222,7.0,4.895,2.335,0.0
236,14.0,671,True,768.0,770.0,96.70979948,1.275004375,7736.7839584,102.00035,89.63,0.0,2.67,86.43,0.53,5.762,0.035,7.0,8.184,2.387,0.0
237,2186.0,515,True,25.0,26.0,3.42032822375,0.28810997125000004,273.6262579,23.0487977,4.63,0.0,2.02,2.2,0.42,0.147,0.027,42.0,0.929,0.755,0.0
238,305.0,709,False,,,48.08356137125,0.0,3846.6849097,0.0,1.68,0.0,0.0,1.22,0.47,0.081,0.031,0.0,0.112,0.0,0.0
239,16.0,673,True,598.0,599.0,14.369033227500001,1.7297775524999999,1149.5226582,138.3822042,10.28,0.0,0.85,7.93,1.5,0.529,0.1,92.0,1.223,0.594,0.0
240,317.0,699,False,,,187.35405697375,0.0,14988.3245579,0.0,4.97,0.0,0.0,0.87,4.1,0.058,0.273,0.0,0.331,0.0,0.0
241,28.0,609,True,366.0,369.0,20.20100474625,1.2958927075,1616.0803797,103.6714166,12.18,0.0,1.55,9.43,1.2,0.629,0.08,102.0,1.323,0.614,0.0
242,255.0,706,True,886.0,888.0,3.58456956625,1.11165956,286.7655653,88.9327648,4.73,0.0,1.6,2.18,0.95,0.145,0.063,45.0,1.826,1.618,0.0
243,55.0,641,False,,,342.7267475275,0.0,27418.1398022,0.0,14.67,0.0,0.0,11.33,3.33,0.756,0.222,0.0,0.978,0.0,0.0
244,43.0,631,True,803.0,804.0,53.815111672499995,11.68170147375,4305.2089338,934.5361179,39.13,0.0,0.92,35.98,2.23,2.399,0.148,7.0,3.265,0.717,0.0
245,2905.0,515,True,25.0,26.0,5.3697893625,0.28810997125000004,429.583149,23.0487977,5.98,0.0,2.02,3.55,0.42,0.237,0.027,42.0,1.019,0.755,0.0
246,76.0,624,False,,,496.47236926375,0.0,39717.7895411,0.0,15.18,0.0,0.0,13.57,1.62,0.905,0.108,0.0,1.013,0.0,0.0
247,1025.0,563,True,201.0,203.0,2.27248591875,0.0990648575,181.7988735,7.9251886,3.65,0.0,1.13,2.35,0.17,0.156,0.011,88.0,0.766,0.599,0.0
248,3543.0,702,False,,,244.26331071250002,0.0,19541.064857,0.0,2.47,0.0,0.0,2.15,0.32,0.144,0.022,0.0,0.165,0.0,0.0
249,935.0,589,True,2073.0,39.0,1.93325138125,4.869864615,154.6601105,389.5891692,8.37,0.0,3.53,2.65,2.18,0.177,0.146,141.0,2.044,1.721,0.0
250,119.0,652,True,1083.0,1085.0,1.92707081625,0.82598638875,154.1656653,66.0789111,5.43,0.0,1.37,3.4,0.67,0.227,0.044,32.0,1.448,1.178,0.0
251,223.0,671,False,,,415.15021463249997,0.0,33212.0171706,0.0,2.1,0.0,0.0,1.57,0.53,0.105,0.035,0.0,0.14,0.0,0.0
252,66.0,641,True,780.0,750.0,81.61797723,2.82428233625,6529.4381784,225.9425869,72.05,0.0,0.97,67.75,3.33,4.517,0.222,7.0,5.819,1.08,0.0
253,17.0,658,True,1250.0,1252.0,1.6885911475,1.53150451,135.0872918,122.5203608,4.15,0.0,1.28,1.35,1.52,0.09,0.102,8.0,1.356,1.165,0.0
254,35.0,675,True,1536.0,1392.0,11.2300444925,6.75391609125,898.4035594,540.3132873,10.57,0.0,1.58,3.47,5.52,0.231,0.368,61.0,1.97,1.371,0.0
255,162.0,597,True,1148.0,1718.0,1.164973315,5.48546768625,93.1978652,438.8374149,9.32,0.0,4.65,0.95,3.72,0.064,0.248,58.0,3.869,3.557,0.0
256,210.0,667,False,,,207.09207803750002,0.0,16567.366243,0.0,15.25,0.0,0.0,12.73,2.52,0.849,0.168,0.0,1.017,0.0,0.0
257,42.0,641,False,,,332.56530408375,0.0,26605.2243267,0.0,23.07,0.0,0.0,19.73,3.33,1.316,0.222,0.0,1.537,0.0,0.0
258,21.0,579,True,614.0,623.0,6.496983475,2.14087209875,519.758678,171.2697679,10.35,0.0,4.02,4.8,1.53,0.32,0.103,91.0,2.721,2.298,0.0
259,1978.0,673,False,,,197.68649383,0.0,15814.9195064,0.0,3.3,0.0,0.0,1.8,1.5,0.12,0.1,0.0,0.219,0.0,0.0
260,43.0,696,True,662.0,696.0,30.598410174999998,2.20176868,2447.872814,176.1414944,25.18,0.0,1.37,21.22,2.6,1.415,0.173,7.0,2.579,0.991,0.0
261,95.0,696,True,660.0,661.0,8.955961227500001,3.09073340375,716.4768982,247.2586723,11.57,0.0,0.93,6.7,3.93,0.447,0.262,29.0,1.402,0.693,0.0
262,35.0,590,True,2180.0,220863.0,22.10722298,1.43194523875,1768.5778384,114.5556191,15.77,0.0,1.45,13.92,0.4,0.928,0.027,25.0,2.672,1.717,0.0
263,455.0,606,True,975.0,976.0,25.12728121125,6.6888396275,2010.1824969,535.1071702,12.68,0.0,1.1,7.28,4.3,0.486,0.287,142.0,2.092,1.319,0.0
264,7180.0,590,False,,,722.1529695225,0.0,57772.2375618,0.0,10.37,0.0,0.0,9.97,0.4,0.665,0.027,0.0,0.692,0.0,0.0
265,29.0,632,False,,,721.31203270625,0.0,57704.9626165,0.0,29.53,0.0,0.0,28.78,0.75,1.919,0.05,0.0,1.969,0.0,0.0
266,90.0,675,True,1390.0,1392.0,5.6434031849999995,6.75391609125,451.4722548,540.3132873,12.18,0.0,2.03,4.63,5.52,0.309,0.368,58.0,2.046,1.369,0.0
267,5.0,627,True,1937.0,1567.0,76.1159091625,1.5992450175,6089.272733,127.9396014,93.92,0.0,37.4,56.15,0.37,3.743,0.024,7.0,26.082,22.314,0.0
268,124.0,629,False,,,472.09629383000004,0.0,37767.7035064,0.0,4.22,0.0,0.0,2.83,1.38,0.188,0.093,0.0,0.281,0.0,0.0
269,91.0,654,True,1784.0,1739.0,3.67993652375,1.9628079762500001,294.3949219,157.0246381,13.33,0.0,10.1,1.33,1.9,0.089,0.127,10.0,5.607,5.392,0.0
270,101.0,628,False,,,594.08939915375,0.0,47527.1519323,0.0,0.7,0.0,0.0,0.45,0.25,0.03,0.016,0.0,0.046,0.0,0.0
271,50.0,579,True,620.0,623.0,29.004948000000002,2.14087209875,2320.39584,171.2697679,19.07,0.0,4.12,13.42,1.53,0.894,0.103,61.0,2.87,1.873,0.0
272,615.0,656,False,,,337.4624445125,0.0,26996.995561,0.0,5.92,0.0,0.0,4.23,1.68,0.283,0.113,0.0,0.395,0.0,0.0
273,56.0,529,True,97207.0,1689.0,17.52685468375,0.7462701862500001,1402.1483747,59.7016149,16.55,0.0,0.98,15.08,0.48,1.006,0.032,53.0,1.824,0.786,0.0
274,646.0,647,True,91.0,94.0,20.12695935875,6.96005493,1610.1567487,556.8043944,13.85,0.0,2.03,6.85,4.97,0.457,0.331,41.0,2.346,1.557,0.0
275,110.0,700,False,,,741.7358122575,0.0,59338.8649806,0.0,5.03,0.0,0.0,2.38,2.65,0.159,0.177,0.0,0.336,0.0,0.0
276,19.0,632,False,,,754.1979848875001,0.0,60335.838791,0.0,30.73,0.0,0.0,29.98,0.75,1.998,0.05,0.0,2.048,0.0,0.0
277,625.0,679,False,,,826.43997703,0.0,66115.1981624,0.0,6.43,0.0,0.0,3.25,3.18,0.217,0.213,0.0,0.429,0.0,0.0
278,17.0,641,True,746.0,750.0,8.201780979999999,2.82428233625,656.1424784,225.9425869,14.08,0.0,4.83,5.92,3.33,0.394,0.222,7.0,4.9,4.284,0.0
279,376.0,681,False,,,653.3539220175,0.0,52268.3137614,0.0,8.67,0.0,0.0,6.75,1.92,0.45,0.128,0.0,0.578,0.0,0.0
280,243.0,597,True,1149.0,1718.0,5.96072077,5.48546768625,476.8576616,438.8374149,12.08,0.0,3.0,5.37,3.72,0.358,0.248,54.0,2.732,2.126,0.0
281,4324.0,593,False,,,697.93774164875,0.0,55835.0193319,0.0,4.1,0.0,0.0,2.0,2.1,0.133,0.14,0.0,0.273,0.0,0.0
282,28.0,701,True,1307.0,1311.0,32.414972340000006,1.8012169,2593.1977872,144.097352,19.03,0.0,2.82,15.7,0.52,1.047,0.034,50.0,3.248,2.167,0.0
283,15.0,616,True,1470.0,1475.0,3.23317062125,2.15542008,258.6536497,172.4336064,10.4,0.0,7.02,1.67,1.72,0.111,0.114,48.0,4.43,4.204,0.0
284,52.0,641,True,758.0,750.0,18.045234215,2.82428233625,1443.6187372,225.9425869,20.12,0.0,2.1,14.68,3.33,0.978,0.222,7.0,3.536,2.335,0.0
285,20.0,685,True,1165.0,1706.0,27.4707394775,0.88402311375,2197.6591582,70.7218491,25.98,0.0,6.38,19.1,0.5,1.273,0.034,2.0,4.9,3.593,0.0
286,20.0,685,True,1164.0,1706.0,13.818406723749998,0.88402311375,1105.4725379,70.7218491,10.02,0.0,6.93,2.58,0.5,0.173,0.034,2.0,4.129,3.922,0.0
287,17.0,627,True,1940.0,1567.0,70.6914548275,1.5992450175,5655.3163862,127.9396014,88.92,0.0,33.93,54.62,0.37,3.641,0.024,7.0,23.472,19.807,0.0
288,15.0,693,True,2006.0,1838.0,15.0113392,2.384613235,1200.907136,190.7690588,21.48,0.0,3.58,17.17,0.73,1.144,0.049,8.0,4.233,3.041,0.0
289,1255.0,589,True,10.0,11.0,3.7532633449999997,6.6742026825,300.2610676,533.9362146,6.83,0.0,0.7,2.95,3.18,0.197,0.212,140.0,0.789,0.38,0.0
290,132.0,628,True,2144.0,1223.0,40.76305249875,0.42415695124999997,3261.0441999,33.9325561,19.07,0.0,2.18,16.63,0.25,1.109,0.016,8.0,2.396,1.27,0.0
291,36.0,636,True,1393.0,1394.0,3.8806248862499997,2.2465177425,310.4499909,179.7214194,6.67,0.0,2.23,1.42,3.02,0.094,0.201,81.0,1.318,1.024,0.0
292,48.0,646,False,,,786.56438158375,0.0,62925.1505267,0.0,30.38,0.0,0.0,26.15,4.23,1.743,0.282,0.0,2.025,0.0,0.0
293,885.0,697,False,,,21.5388958925,0.0,1723.1116714,0.0,3.43,0.0,0.0,1.22,2.22,0.082,0.148,0.0,0.229,0.0,0.0
294,37.0,632,False,,,711.94232251625,0.0,56955.3858013,0.0,39.73,0.0,0.0,38.98,0.75,2.598,0.05,0.0,2.648,0.0,0.0
295,147.0,684,False,,,522.51627931625,0.0,41801.3023453,0.0,3.65,0.0,0.0,2.18,1.47,0.146,0.098,0.0,0.243,0.0,0.0
296,56.0,652,False,,,472.10845365750004,0.0,37768.6762926,0.0,47.13,0.0,0.0,46.0,1.13,3.067,0.075,0.0,3.142,0.0,0.0
297,5142.0,622,True,2311.0,637.0,3.7325069912499997,7.04211803625,298.6005593,563.3694429,9.8,0.0,1.55,4.1,4.15,0.273,0.276,48.0,2.174,1.624,0.0
298,109.0,563,False,,,307.27291599750004,0.0,24581.8332798,0.0,5.47,0.0,0.0,5.3,0.17,0.353,0.011,0.0,0.364,0.0,0.0
299,20.0,641,True,113250.0,750.0,12.858232577499999,2.82428233625,1028.6586062,225.9425869,14.78,0.0,1.35,10.1,3.33,0.674,0.222,14.0,2.431,1.535,0.0
300,1359.0,589,False,,,78.556979505,0.0,6284.5583604,0.0,7.82,0.0,0.0,4.63,3.18,0.309,0.212,0.0,0.521,0.0,0.0
301,22.0,696,True,658.0,661.0,27.30188471125,3.09073340375,2184.1507769,247.2586723,20.98,0.0,3.87,13.18,3.93,0.879,0.262,21.0,4.712,3.571,0.0
302,31.0,696,True,659.0,661.0,25.89618118875,3.09073340375,2071.6944951,247.2586723,21.65,0.0,2.27,15.45,3.93,1.03,0.262,21.0,3.18,1.888,0.0
