Origin,Origin_Population,Destination,Uses_Public_Transport,FromStopPointNo,ToStopPointNo,Access_Time_Minutes,Egress_Time_Minutes,Access_Distance_Meters,Egress_Distance_Meters,Mejor_JRT,Mejor_NTR,Mejor_RIT,Mejor_ACT,Mejor_EGT,Mejor_ACD,Mejor_EGD,Mejor_SFQ,Mejor_JRD,Mejor_RID,Mejor_TWT
303,9737.0,608,True,1649.0,1651.0,5.115328005,0.8951277624999999,409.2262404,71.610221,8.1,0.0,2.03,5.02,1.05,0.334,0.07,34.0,1.206,0.802,0.0
304,1649.0,686,False,,,713.74063021125,0.0,57099.2504169,0.0,3.65,0.0,0.0,1.37,2.28,0.091,0.153,0.0,0.244,0.0,0.0
305,12276.0,597,False,,,288.65630683999996,0.0,23092.5045472,0.0,5.62,0.0,0.0,4.23,1.38,0.282,0.093,0.0,0.375,0.0,0.0
306,239.0,687,False,,,731.81294688375,0.0,58545.0357507,0.0,1.47,0.0,0.0,0.35,1.12,0.023,0.075,0.0,0.098,0.0,0.0
307,1743.0,616,True,1474.0,1475.0,2.26883874625,2.15542008,181.5070997,172.4336064,4.72,0.0,0.8,2.2,1.72,0.147,0.114,33.0,0.844,0.583,0.0
308,52.0,673,True,598.0,599.0,9.07036109,1.7297775524999999,725.6288872,138.3822042,10.52,0.0,0.85,8.17,1.5,0.544,0.1,90.0,1.238,0.594,0.0
309,242.0,636,True,1398.0,1399.0,10.835125948750001,1.89844663625,866.8100759,151.8757309,11.53,0.0,2.1,6.65,2.78,0.443,0.185,80.0,1.667,1.039,0.0
310,115.0,688,False,,,722.94580411625,0.0,57835.6643293,0.0,3.97,0.0,0.0,2.87,1.1,0.191,0.074,0.0,0.265,0.0,0.0
311,36.0,692,True,1579.0,1569.0,7.03341307,,562.6730456,,17.45,0.0,6.08,8.9,2.47,0.593,0.164,27.0,4.631,3.873,0.0
312,45.0,632,False,,,736.561861055,0.0,58924.9488844,0.0,12.52,0.0,0.0,11.77,0.75,0.784,0.05,0.0,0.834,0.0,0.0
313,199.0,643,True,2178.0,1039.0,2.8493771375000003,0.10778516625000001,227.950171,8.6228133,6.57,0.0,2.53,3.78,0.25,0.252,0.017,9.0,2.094,1.824,0.0
314,1529.0,589,True,2073.0,39.0,5.5894439812500005,4.869864615,447.1555185,389.5891692,9.5,0.0,3.53,3.78,2.18,0.252,0.146,157.0,2.119,1.721,0.0
315,185.0,517,True,585.0,587.0,5.5632412875,0.92716684375,445.059303,74.1733475,3.82,0.0,2.47,0.77,0.58,0.051,0.039,105.0,1.689,1.599,0.0
316,43.0,642,True,1975.0,1973.0,59.145752077500006,2.5938804625,4731.6601662,207.510437,38.37,0.0,2.27,34.03,2.07,2.269,0.137,15.0,4.022,1.615,0.0
317,68.0,697,True,686.0,693.0,1.6128862824999999,2.32925861625,129.0309026,186.3406893,14.22,0.0,9.6,2.4,2.22,0.16,0.148,8.0,6.438,6.13,0.0
318,559.0,583,False,,,443.26906480750006,0.0,35461.5251846,0.0,5.32,0.0,0.0,4.57,0.75,0.305,0.05,0.0,0.355,0.0,0.0
319,36.0,623,True,75582.0,1529.0,2.31100109,1.54139833,184.8800872,123.3118664,3.3,0.0,0.75,1.1,1.45,0.074,0.097,36.0,1.138,0.968,0.0
320,69.0,642,False,,,451.8640692125,0.0,36149.125537,0.0,11.07,0.0,0.0,9.42,1.65,0.628,0.11,0.0,0.738,0.0,0.0
321,537.0,570,False,,,180.69243920875002,0.0,14455.3951367,0.0,10.98,0.0,0.0,9.18,1.8,0.613,0.12,0.0,0.733,0.0,0.0
322,8139.0,599,True,1713.0,1488.0,8.50794900375,5.069693105000001,680.6359203,405.5754484,10.53,0.0,2.98,4.72,2.83,0.315,0.188,34.0,2.463,1.96,0.0
323,2005.0,589,False,,,64.7708773075,0.0,5181.6701846,0.0,9.43,0.0,0.0,7.25,2.18,0.484,0.146,0.0,0.629,0.0,0.0
324,35.0,685,True,1705.0,1706.0,16.7342971125,0.88402311375,1338.743769,70.7218491,10.72,0.0,2.3,7.92,0.5,0.528,0.034,4.0,1.415,0.853,0.0
325,42.0,665,True,1415.0,1417.0,51.402512128750004,1.6451094412500002,4112.2009703,131.6087553,25.58,0.0,1.3,23.25,1.03,1.55,0.068,33.0,3.329,1.71,0.0
326,7457.0,517,True,586.0,587.0,2.4193413225000002,0.92716684375,193.5473058,74.1733475,3.13,0.0,0.78,1.77,0.58,0.118,0.039,97.0,0.59,0.434,0.0
327,1265.0,693,True,2005.0,2307.0,1.475953245,2.14528763375,118.0762596,171.6230107,3.05,0.0,0.63,1.82,0.6,0.122,0.04,15.0,0.591,0.43,0.0
328,22.0,707,False,,,600.32179806875,0.0,48025.7438455,0.0,9.92,0.0,0.0,8.78,1.13,0.586,0.076,0.0,0.662,0.0,0.0
329,44.0,641,False,,,317.6051712025,0.0,25408.4136962,0.0,57.43,0.0,0.0,54.1,3.33,3.607,0.222,0.0,3.829,0.0,0.0
330,120.0,699,False,,,195.84647450125001,0.0,15667.7179601,0.0,9.0,0.0,0.0,4.67,4.33,0.312,0.288,0.0,0.6,0.0,0.0
331,34.0,565,False,,,359.96270448125,0.0,28797.0163585,0.0,26.28,0.0,0.0,23.33,2.95,1.555,0.197,0.0,1.752,0.0,0.0
332,44.0,667,False,,,209.77771561375,0.0,16782.2172491,0.0,15.27,0.0,0.0,12.75,2.52,0.85,0.168,0.0,1.018,0.0,0.0
333,28.0,641,True,744.0,750.0,39.241221637500004,2.82428233625,3139.297731,225.9425869,34.7,0.0,6.93,24.43,3.33,1.629,0.222,7.0,7.373,5.523,0.0
334,110.0,589,True,2150.0,39.0,13.41449348875,4.869864615,1073.1594791,389.5891692,17.2,0.0,3.3,11.72,2.18,0.781,0.146,105.0,1.934,1.007,0.0
335,1955.0,589,True,37.0,39.0,6.01781787875,4.869864615,481.4254303,389.5891692,7.37,0.0,1.43,3.75,2.18,0.25,0.146,160.0,1.232,0.835,0.0
336,523.0,707,False,,,588.2598279912501,0.0,47060.7862393,0.0,2.1,0.0,0.0,1.08,1.02,0.073,0.068,0.0,0.141,0.0,0.0
337,2684.0,694,False,,,378.88534323,0.0,30310.8274584,0.0,5.37,0.0,0.0,3.53,1.83,0.236,0.123,0.0,0.358,0.0,0.0
338,184.0,598,True,711.0,951.0,0.95776267875,4.21942202,76.6210143,337.5537616,11.35,0.0,7.02,0.77,3.57,0.052,0.237,47.0,4.122,3.833,0.0
339,444.0,574,True,435.0,495.0,13.491267446250001,0.8581321412499999,1079.3013957,68.6505713,17.2,0.0,3.9,12.72,0.58,0.848,0.039,67.0,3.968,3.081,0.0
340,44885.0,573,True,303.0,224.0,1.90441307125,2.03171655125,152.3530457,162.5373241,4.55,0.0,0.43,2.42,1.7,0.161,0.113,12.0,0.502,0.228,0.0
341,18.0,627,True,1937.0,1567.0,58.1682019,1.5992450175,4653.456152,127.9396014,73.62,0.0,37.4,35.85,0.37,2.39,0.024,7.0,24.729,22.314,0.0
342,396.0,675,False,,,442.896024725,0.0,35431.681978,0.0,10.38,0.0,0.0,4.87,5.52,0.324,0.368,0.0,0.692,0.0,0.0
343,46.0,671,True,767.0,770.0,31.882579957500003,1.275004375,2550.6063966,102.00035,37.03,0.0,7.02,29.48,0.53,1.966,0.035,7.0,6.963,4.962,0.0
344,195.0,673,True,598.0,599.0,6.804665875,1.7297775524999999,544.37327,138.3822042,6.37,0.0,0.85,4.02,1.5,0.268,0.1,91.0,0.962,0.594,0.0
345,24.0,641,True,113250.0,750.0,61.44300476625,2.82428233625,4915.4403813,225.9425869,47.08,0.0,1.35,42.4,3.33,2.827,0.222,14.0,4.584,1.535,0.0
346,478.0,583,False,,,445.29917538250004,0.0,35623.9340306,0.0,1.4,0.0,0.0,0.65,0.75,0.043,0.05,0.0,0.094,0.0,0.0
347,254.0,589,True,2029.0,11.0,2.94811710125,6.6742026825,235.8493681,533.9362146,7.18,0.0,1.4,2.6,3.18,0.173,0.212,30.0,0.755,0.37,0.0
348,55.0,701,True,1342.0,1344.0,20.66801795875,2.05496631125,1653.4414367,164.3973049,15.67,0.0,0.87,14.28,0.52,0.953,0.034,107.0,1.526,0.54,0.0
349,72.0,563,True,201.0,203.0,2.85036384,0.0990648575,228.0291072,7.9251886,3.1,0.0,1.13,1.8,0.17,0.119,0.011,88.0,0.729,0.599,0.0
350,41.0,646,True,1481.0,1482.0,3.2141155237500003,5.11125985125,257.1292419,408.9007881,7.32,0.0,0.78,2.3,4.23,0.154,0.282,36.0,1.435,1.0,0.0
351,242.0,589,True,2264.0,39.0,3.6648679475000003,4.869864615,293.1894358,389.5891692,11.87,0.0,5.1,4.58,2.18,0.305,0.146,150.0,2.872,2.42,0.0
352,7.0,671,True,766.0,770.0,1.1091658125000001,1.275004375,88.733265,102.00035,9.25,0.0,8.23,0.48,0.53,0.032,0.035,7.0,5.749,5.682,0.0
353,131.0,641,True,780.0,750.0,31.96520363875,2.82428233625,2557.2162911,225.9425869,20.15,0.0,0.97,15.85,3.33,1.057,0.222,7.0,2.358,1.08,0.0
354,1850.0,574,True,511.0,512.0,5.31971247375,0.8308609887499999,425.5769979,66.4688791,6.62,0.0,1.53,4.13,0.95,0.276,0.064,84.0,1.128,0.788,0.0
355,36.0,654,True,1731.0,1739.0,9.784237068749999,1.9628079762500001,782.7389655,157.0246381,15.93,0.0,8.32,5.72,1.9,0.381,0.127,10.0,4.747,4.239,0.0
356,43.0,675,True,1391.0,1392.0,5.910851435,6.75391609125,472.8681148,540.3132873,12.27,0.0,0.85,5.9,5.52,0.393,0.368,61.0,1.412,0.651,0.0
357,54.0,616,True,1468.0,1475.0,0.45552948125,2.15542008,36.4423585,172.4336064,11.33,0.0,8.87,0.75,1.72,0.05,0.114,15.0,5.617,5.453,0.0
358,6038.0,598,True,765.0,764.0,1.24786209,3.9044995112499996,99.8289672,312.3599609,4.87,0.0,1.38,0.13,3.35,0.009,0.224,24.0,0.955,0.722,0.0
359,299.0,583,False,,,449.0218392225,0.0,35921.7471378,0.0,9.17,0.0,0.0,8.42,0.75,0.561,0.05,0.0,0.611,0.0,0.0
360,399.0,589,True,10.0,11.0,4.16577886125,6.6742026825,333.2623089,533.9362146,6.1,0.0,0.7,2.22,3.18,0.148,0.212,128.0,0.74,0.38,0.0
361,44.0,700,False,,,739.5394489025,0.0,59163.1559122,0.0,5.53,0.0,0.0,2.88,2.65,0.192,0.177,0.0,0.369,0.0,0.0
362,241.0,598,True,2141.0,548.0,5.7328114775,1.1167382887500001,458.6249182,89.3390631,5.42,0.0,1.75,2.82,0.85,0.188,0.057,58.0,1.844,1.6,0.0
363,118.0,709,True,557.0,558.0,0.29096167375,4.024249515,23.2769339,321.9399612,3.67,0.0,1.02,0.4,2.25,0.026,0.15,33.0,0.748,0.572,0.0
364,145.0,697,True,691.0,693.0,2.83821704625,2.32925861625,227.0573637,186.3406893,7.42,0.0,2.18,3.02,2.22,0.201,0.148,14.0,1.778,1.429,0.0
365,117.0,631,True,802.0,804.0,0.5134900499999999,11.68170147375,41.079204,934.5361179,4.6,0.0,1.8,0.57,2.23,0.038,0.148,7.0,1.38,1.194,0.0
366,44.0,579,True,582.0,610.0,4.73927943125,0.6942051225,379.1423545,55.5364098,7.23,0.0,1.52,4.98,0.73,0.333,0.049,56.0,1.311,0.929,0.0
367,242.0,654,False,,,130.69580381875,0.0,10455.6643055,0.0,3.38,0.0,0.0,1.48,1.9,0.099,0.127,0.0,0.226,0.0,0.0
368,84.0,689,True,1015.0,1016.0,0.40467816125,1.48626862375,32.3742529,118.9014899,2.78,0.0,0.53,0.62,1.63,0.041,0.108,56.0,0.857,0.707,0.0
369,28.0,709,True,544.0,545.0,1.209501885,3.68897219,96.7601508,295.1177752,2.2,0.0,0.38,1.35,0.47,0.09,0.031,18.0,0.388,0.267,0.0
370,101375.0,587,True,282.0,283.0,1.6603562075,1.70144473125,132.8284966,136.1155785,3.8,0.0,0.33,1.97,1.5,0.131,0.1,201.0,0.451,0.22,0.0
371,968.0,659,True,933.0,935.0,1.52966314125,1.3154428062499999,122.3730513,105.2354245,4.23,0.0,1.37,1.83,1.03,0.122,0.069,17.0,1.189,0.999,0.0
372,1830.0,709,True,751.0,545.0,4.4172472425,3.68897219,353.3797794,295.1177752,7.83,0.0,4.53,2.83,0.47,0.189,0.031,17.0,3.474,3.255,0.0
373,44.0,671,True,768.0,770.0,3.032740075,1.275004375,242.619206,102.00035,6.45,0.0,2.67,3.25,0.53,0.217,0.035,7.0,2.639,2.387,0.0
374,54.0,631,True,2186.0,804.0,3.1362081875000003,11.68170147375,250.896655,934.5361179,12.8,0.0,7.37,3.2,2.23,0.214,0.148,7.0,4.299,3.937,0.0
375,2939.0,570,False,,,174.69494900249998,0.0,13975.5959202,0.0,13.12,0.0,0.0,11.32,1.8,0.755,0.12,0.0,0.875,0.0,0.0
376,68.0,579,True,2212.0,623.0,1.19663592875,2.14087209875,95.7308743,171.2697679,5.8,0.0,4.08,0.18,1.53,0.012,0.103,3.0,2.226,2.111,0.0
377,40.0,583,True,1968.0,1660.0,27.575404811250003,2.6938748525,2206.0323849,215.5099882,27.05,0.0,1.37,22.92,2.77,1.528,0.184,15.0,2.521,0.809,0.0
378,32.0,641,True,113250.0,750.0,64.913596815,2.82428233625,5193.0877452,225.9425869,39.77,0.0,1.35,35.08,3.33,2.338,0.222,7.0,4.096,1.535,0.0
379,156.0,673,True,702.0,580.0,2.0424577325,1.76537020875,163.3966186,141.2296167,7.43,0.0,3.63,2.3,1.5,0.153,0.1,80.0,2.562,2.31,0.0
380,28.0,616,True,1465.0,1475.0,1.59993306375,2.15542008,127.9946451,172.4336064,14.63,0.0,11.52,1.4,1.72,0.093,0.114,15.0,7.124,6.916,0.0
381,171.0,564,True,58.0,61.0,9.81521488125,1.248319115,785.2171905,99.8655292,12.85,0.0,3.05,8.43,1.37,0.562,0.091,17.0,2.169,1.517,0.0
382,53.0,678,True,1663.0,408.0,0.13727750125,3.5326494662499996,10.9822001,282.6119573,8.97,0.0,5.68,0.18,3.1,0.012,0.206,9.0,5.017,4.799,0.0
383,46088.0,592,False,,,52.730412603750004,0.0,4218.4330083,0.0,3.25,0.0,0.0,2.52,0.73,0.168,0.049,0.0,0.217,0.0,0.0
384,1558.0,589,True,21.0,22.0,7.036045249999999,7.0975798375,562.88362,567.806387,12.12,0.0,1.8,5.58,4.73,0.372,0.315,45.0,1.644,0.957,0.0
385,28255.0,586,False,,,70.15768511625001,0.0,5612.6148093,0.0,1.62,0.0,0.0,1.18,0.43,0.079,0.029,0.0,0.108,0.0,0.0
386,31.0,641,True,780.0,750.0,31.760831009999997,2.82428233625,2540.8664808,225.9425869,24.48,0.0,0.97,20.18,3.33,1.345,0.222,7.0,2.647,1.08,0.0
387,4165.0,607,False,,,207.24510401624997,0.0,16579.6083213,0.0,3.05,0.0,0.0,0.28,2.77,0.019,0.185,0.0,0.203,0.0,0.0
388,582.0,622,True,2195.0,637.0,7.919967712499999,7.04211803625,633.597417,563.3694429,14.33,0.0,3.17,7.02,4.15,0.468,0.276,20.0,3.29,2.545,0.0
389,242.0,641,True,756.0,750.0,3.967834225,2.82428233625,317.426738,225.9425869,8.4,0.0,1.07,4.0,3.33,0.267,0.222,7.0,1.671,1.182,0.0
390,290.0,698,False,,,609.2361247875,0.0,48738.889983,0.0,5.55,0.0,0.0,2.52,3.03,0.167,0.202,0.0,0.37,0.0,0.0
391,56.0,675,True,1390.0,1392.0,0.9377842825,6.75391609125,75.0227426,540.3132873,9.03,0.0,2.03,1.48,5.52,0.099,0.368,76.0,1.836,1.369,0.0
392,231.0,589,True,2264.0,39.0,2.102702495,4.869864615,168.2161996,389.5891692,9.43,0.0,5.1,2.15,2.18,0.144,0.146,113.0,2.71,2.42,0.0
393,6.0,687,False,,,751.3956304125,0.0,60111.650433,0.0,13.27,0.0,0.0,12.15,1.12,0.81,0.075,0.0,0.885,0.0,0.0
394,3725.0,559,False,,,600.79308617375,0.0,48063.4468939,0.0,3.02,0.0,0.0,1.63,1.38,0.109,0.092,0.0,0.201,0.0,0.0
395,126.0,631,False,,,154.3311696875,0.0,12346.493575,0.0,4.15,0.0,0.0,1.92,2.23,0.128,0.148,0.0,0.276,0.0,0.0
396,55.0,631,True,796.0,806.0,3.47452264125,3.05929863875,277.9618113,244.7438911,10.77,0.0,3.63,3.68,3.45,0.245,0.23,13.0,3.315,2.84,0.0
397,58.0,667,True,616.0,60417.0,7.737290450000001,2.3932554262499997,618.983236,191.4604341,13.48,0.0,2.28,8.68,2.52,0.579,0.168,14.0,2.705,1.958,0.0
398,169.0,597,True,1149.0,1718.0,6.842711250000001,5.48546768625,547.4169,438.8374149,11.08,0.0,3.0,4.37,3.72,0.291,0.248,54.0,2.665,2.126,0.0
399,611.0,694,True,2164.0,2165.0,4.57165212,15.581739885,365.7321696,1246.5391908,9.73,0.0,1.18,3.78,4.77,0.252,0.318,16.0,1.195,0.625,0.0
400,129.0,623,True,1537.0,1544.0,3.93698392875,0.7662784525,314.9587143,61.3022762,12.47,0.0,7.8,4.28,0.38,0.286,0.026,32.0,6.401,6.089,0.0
401,1002.0,515,True,25.0,26.0,5.17919097375,0.28810997125000004,414.3352779,23.0487977,6.48,0.0,2.02,4.05,0.42,0.27,0.027,42.0,1.053,0.755,0.0
402,31.0,628,True,1221.0,1223.0,1.5030936775000001,0.42415695124999997,120.2474942,33.9325561,5.18,0.0,3.85,1.08,0.25,0.072,0.016,8.0,2.311,2.222,0.0
403,21.0,589,True,9.0,11.0,1.5579174999999998,6.6742026825,124.6334,533.9362146,7.55,0.0,2.75,1.62,3.18,0.108,0.212,163.0,1.035,0.715,0.0
404,4092.0,701,False,,,377.3446790775,0.0,30187.5743262,0.0,2.12,0.0,0.0,1.6,0.52,0.106,0.034,0.0,0.14,0.0,0.0
405,33.0,590,True,990.0,220863.0,1.2027315175,1.43194523875,96.2185214,114.5556191,3.42,0.0,2.2,0.82,0.4,0.055,0.027,25.0,2.454,2.372,0.0
406,463.0,642,False,,,447.96108151625003,0.0,35836.8865213,0.0,2.62,0.0,0.0,0.55,2.07,0.037,0.137,0.0,0.174,0.0,0.0
407,36.0,630,True,1525.0,1328.0,1.1174360975000002,2.0668860862500003,89.3948878,165.3508869,3.38,0.0,0.73,0.93,1.72,0.062,0.114,35.0,0.834,0.657,0.0
408,260.0,689,True,1171.0,1174.0,4.02751352875,3.0567948337499997,322.2010823,244.5435867,6.7,0.0,1.45,3.52,1.73,0.235,0.116,7.0,1.857,1.507,0.0
409,12.0,691,True,1952.0,1654.0,74.0056507925,3.9055565100000003,5920.4520634,312.4445208,56.12,0.0,4.98,47.12,4.02,3.141,0.268,7.0,8.281,4.872,0.0
410,691.0,586,True,360.0,299.0,1.8722267362499998,7.1501844175,149.7781389,572.0147534,7.32,0.0,3.97,0.72,2.63,0.048,0.176,64.0,2.919,2.696,0.0
411,5208.0,608,False,,,129.52372797499999,0.0,10361.898238,0.0,14.6,0.0,0.0,13.55,1.05,0.903,0.07,0.0,0.973,0.0,0.0
412,403.0,674,True,1844.0,1802.0,2.88561741625,2.64742021875,230.8493933,211.7936175,10.23,0.0,5.48,2.87,1.88,0.191,0.126,8.0,3.261,2.945,0.0
413,36.0,707,True,33541.0,1520.0,18.039466795000003,2.40422720125,1443.1573436,192.3381761,16.42,0.0,1.5,13.9,1.02,0.926,0.068,35.0,2.692,1.697,0.0
414,44.0,652,False,,,507.007124675,0.0,40560.569974,0.0,12.02,0.0,0.0,10.88,1.13,0.726,0.075,0.0,0.801,0.0,0.0
415,1599.0,620,True,1354.0,171.0,3.3818295175000004,4.115208245,270.5463614,329.2166596,6.83,0.0,1.17,3.07,2.6,0.204,0.173,7.0,1.103,0.725,0.0
416,3591.0,691,False,,,487.27343912625,0.0,38981.8751301,0.0,7.02,0.0,0.0,3.0,4.02,0.2,0.268,0.0,0.468,0.0,0.0
417,300.0,582,True,2098.0,2259.0,1.83956299,2.96384893875,147.1650392,237.1079151,7.87,0.0,3.68,1.88,2.3,0.125,0.154,48.0,2.243,1.964,0.0
418,1513.0,672,True,964.0,2143.0,3.2873519412500003,1.52107042375,262.9881553,121.6856339,4.1,0.0,0.67,1.95,1.48,0.13,0.099,16.0,0.536,0.306,0.0
419,13.0,691,True,1653.0,1654.0,62.84684549375,3.9055565100000003,5027.7476395,312.4445208,38.37,0.0,2.35,32.0,4.02,2.134,0.268,7.0,4.724,2.322,0.0
420,112.0,627,False,,,9.466666666666669,0.0,,0.0,9.47,0.0,0.0,9.03,0.43,0.602,0.029,0.0,0.631,0.0,0.0
421,29.0,658,True,1241.0,1242.0,72.8395791725,1.19257328875,5827.1663338,95.4058631,54.63,0.0,0.88,52.23,1.52,3.482,0.102,8.0,4.115,0.532,0.0
422,42.0,707,True,1552.0,1553.0,25.344818455000002,2.0326807912500002,2027.5854764,162.6144633,25.8,0.0,1.48,23.18,1.13,1.546,0.076,32.0,2.842,1.221,0.0
423,51.0,692,True,1554.0,1570.0,26.502140509999997,,2120.1712408,,30.8,0.0,5.03,23.3,2.47,1.554,0.164,4.0,6.102,4.384,0.0
424,28.0,708,True,1318.0,97126.0,29.024966992499998,0.11628975374999999,2321.9973594,9.3031803,28.85,0.0,5.23,23.27,0.35,1.551,0.023,10.0,5.151,3.576,0.0
425,892.0,609,True,589.0,369.0,3.62948745875,1.2958927075,290.3589967,103.6714166,6.75,0.0,1.45,4.1,1.2,0.273,0.08,72.0,2.138,1.785,0.0
426,270.0,676,True,2112.0,2111.0,1.6938819625000001,2.9523678912499998,135.510557,236.1894313,5.15,0.0,0.52,1.95,2.68,0.131,0.179,25.0,0.88,0.57,0.0
427,453.0,633,True,1140.0,1142.0,2.2987746112500003,3.14078673875,183.9019689,251.2629391,8.1,0.0,1.88,2.87,3.35,0.191,0.224,18.0,1.609,1.194,0.0
428,41.0,632,True,1236.0,1237.0,18.1238817875,2.39291634625,1449.910543,191.4333077,19.22,0.0,1.6,16.87,0.75,1.124,0.05,8.0,2.115,0.941,0.0
429,47.0,590,True,989.0,220863.0,22.7600941175,1.43194523875,1820.8075294,114.5556191,13.7,0.0,3.67,9.63,0.4,0.642,0.027,22.0,4.234,3.566,0.0
430,3322.0,703,False,,,589.89758036875,0.0,47191.8064295,0.0,10.85,0.0,0.0,5.8,5.05,0.387,0.336,0.0,0.723,0.0,0.0
431,48.0,689,True,1014.0,1016.0,11.12360680125,1.48626862375,889.8885441,118.9014899,11.28,0.0,1.85,7.8,1.63,0.52,0.108,56.0,2.612,1.984,0.0
432,110.0,709,True,543.0,545.0,3.7000132712499996,3.68897219,296.0010617,295.1177752,6.23,0.0,1.88,3.88,0.47,0.259,0.031,35.0,1.511,1.222,0.0
433,10120.0,609,True,363.0,364.0,2.37288916875,1.090455565,189.8311335,87.2364452,4.4,0.0,0.93,2.27,1.2,0.151,0.08,113.0,0.775,0.544,0.0
434,110.0,709,True,541.0,545.0,0.61881393875,3.68897219,49.5051151,295.1177752,5.67,0.0,3.75,1.45,0.47,0.096,0.031,18.0,2.533,2.406,0.0
435,914.0,678,True,402.0,403.0,2.7925552475,1.30888481875,223.4044198,104.7107855,4.8,0.0,0.52,2.9,1.38,0.193,0.092,17.0,0.712,0.427,0.0
436,2832.0,704,False,,,893.2495572062501,0.0,71459.9645765,0.0,5.43,0.0,0.0,4.4,1.03,0.294,0.069,0.0,0.362,0.0,0.0
437,148.0,607,True,877.0,881.0,7.678175738749999,2.64845712,614.2540591,211.8765696,15.77,0.0,4.87,7.95,2.95,0.53,0.197,7.0,3.894,3.168,0.0
438,29.0,678,True,376.0,378.0,10.33823381125,1.4709746675,827.0587049,117.6779734,9.08,0.0,2.03,5.48,1.57,0.366,0.104,30.0,1.788,1.317,0.0
439,382.0,706,False,,,229.1986764925,0.0,18335.8941194,0.0,2.93,0.0,0.0,1.98,0.95,0.133,0.063,0.0,0.196,0.0,0.0
440,216.0,645,False,,,232.12965833500002,0.0,18570.3726668,0.0,1.43,0.0,0.0,1.0,0.43,0.066,0.029,0.0,0.095,0.0,0.0
441,500.0,589,True,2072.0,39.0,2.2566843362499998,4.869864615,180.5347469,389.5891692,8.22,0.0,4.45,1.58,2.18,0.105,0.146,125.0,2.393,2.141,0.0
442,47.0,593,True,1502.0,978.0,43.501783235,1.9945926925,3480.1426588,159.5674154,38.57,0.0,4.3,32.17,2.1,2.144,0.14,47.0,5.354,3.07,0.0
443,287.0,623,False,,,437.9403773875,0.0,35035.230191,0.0,2.17,0.0,0.0,1.78,0.38,0.119,0.026,0.0,0.145,0.0,0.0
444,151.0,590,True,989.0,220863.0,27.819553839999998,1.43194523875,2225.5643072,114.5556191,26.45,0.0,3.67,22.38,0.4,1.492,0.027,17.0,5.084,3.566,0.0
445,621.0,657,False,,,647.79891536875,0.0,51823.9132295,0.0,3.33,0.0,0.0,1.23,2.1,0.082,0.14,0.0,0.222,0.0,0.0
446,47.0,627,True,1568.0,1574.0,67.03604090249999,1.82155094625,5362.8832722,145.7240757,38.35,0.0,0.97,36.95,0.43,2.464,0.029,15.0,3.521,1.029,0.0
447,26.0,632,False,,,738.6101025099999,0.0,59088.8082008,0.0,17.07,0.0,0.0,16.32,0.75,1.087,0.05,0.0,1.137,0.0,0.0
448,387.0,708,False,,,438.07749079375,0.0,35046.1992635,0.0,3.57,0.0,0.0,3.22,0.35,0.214,0.023,0.0,0.237,0.0,0.0
449,601.0,633,False,,,547.99817602875,0.0,43839.8540823,0.0,7.98,0.0,0.0,6.12,1.87,0.407,0.124,0.0,0.531,0.0,0.0
450,1778.0,692,False,,,414.02286358875,0.0,33121.8290871,0.0,5.27,0.0,0.0,2.8,2.47,0.187,0.164,0.0,0.351,0.0,0.0
451,53.0,675,False,,,449.72424947125,0.0,35977.9399577,0.0,7.63,0.0,0.0,2.12,5.52,0.142,0.368,0.0,0.509,0.0,0.0
452,425.0,659,True,903.0,905.0,22.252476601250002,1.59281754625,1780.1981281,127.4254037,10.37,0.0,1.55,7.62,1.2,0.508,0.08,27.0,1.828,1.24,0.0
453,119.0,627,True,1563.0,1567.0,9.191551188750001,1.5992450175,735.3240951,127.9396014,10.28,0.0,4.18,5.73,0.37,0.382,0.024,31.0,3.744,3.338,0.0
