Zona_Origen,Nombre_Zona_Origen,Poblacion_Origen,Zona_Destino,Usa_Transporte_Publico,Parada_Origen,Parada_Destino,Tiempo_Acceso_Minutos,Tiempo_Salida_Minutos,Distancia_Acceso_Metros,Distancia_Salida_Metros,Fuente_Datos_Acceso,Fuente_Datos_Salida,Tiempo_Viaje_Total_Minutos,Tiempo_Trayecto_Minutos,Numero_Transbordos,Distancia_Viaje_Total_Km,Distancia_Trayecto_Km,Tiempo_Espera_Transbordo_Minutos,Frecuencia_Servicio,Tiempo_Acceso_Original,Tiempo_Salida_Original,Distancia_Acceso_Original_Km,Distancia_Salida_Original_Km,Tiempo_Viaje_Original_Minutos,Tiempo_Total_Puerta_a_Puerta_Minutos,Verificacion_Tiempo_Total
1,Abadiño-Zelaieta,1559,901,True,1475.0,1078.0,1.4780678225,0.91846033625,118.2454258,73.4768269,Calculado,Calculado,44.166528158750005,41.77,0,25.084,24.984,0.0,36,0.57,0.93,0.037,0.062,43.27,44.166528158750005,44.166528158750005
2,Abanto,25,903,True,610.0,284.0,10.381505725,2.53,830.520458,169.0,Calculado,Mapeado,39.511505725000006,26.6,0,15.709,15.198,0.0,36,5.13,2.53,0.343,0.169,34.27,39.511505725000006,39.511505725000006
3,Agarre,42,901,True,1390.0,1078.0,6.440452806250001,0.91846033625,515.2362245,73.4768269,Calculado,Calculado,17.3089131425,9.95,0,6.307,5.775,0.0,63,7.05,0.93,0.47,0.062,17.93,17.3089131425,17.3089131425
4,Agirre,22,901,True,1218.0,1078.0,24.44108348625,0.91846033625,1955.2866789,73.4768269,Calculado,Calculado,93.8595438225,68.5,2,40.391,39.817,8.3,32,7.68,0.93,0.512,0.062,77.12,93.8595438225,102.1595438225
5,Agirre-Aperribai,2272,901,True,171.0,1005.0,4.30644740875,1.089115005,344.5157927,87.1292004,Calculado,Calculado,14.745562413750001,9.35,0,6.348,6.09,0.0,119,2.75,1.1,0.184,0.074,13.2,14.745562413750001,14.745562413750001
6,Agirre-Areantza-Guzurmendi,1258,904,True,2130.0,1648.0,9.106720335,6.839990448749999,728.5376268,547.1992359,Calculado,Calculado,23.47671078375,7.53,0,6.164,5.302,0.0,6,6.9,6.03,0.46,0.402,20.47,23.47671078375,23.47671078375
7,Ahedo,102,902,True,786.0,209.0,30.85243540125,1.58,2468.1948321,106.0,Calculado,Mapeado,108.96243540125,76.53,2,50.415,49.222,8.85,7,16.32,1.58,1.087,0.106,94.43,108.96243540125,117.81243540125
8,Aita San Migel,194,901,True,1376.0,1078.0,8.880122465,0.91846033625,710.4097972,73.4768269,Calculado,Calculado,24.11858280125,14.32,0,20.037,19.441,0.0,34,8.02,0.93,0.535,0.062,23.27,24.11858280125,24.11858280125
9,Aiuria,52,901,True,1071.0,1078.0,62.69872717,0.91846033625,5015.8981736,73.4768269,Calculado,Calculado,84.49718750625,20.88,0,18.321,15.21,0.0,16,45.75,0.93,3.05,0.062,67.57,84.49718750625,84.49718750625
10,Aketxe,24,904,True,8.0,2219.0,4.60397649,0.79330144375,368.3181192,63.4641155,Calculado,Calculado,43.26727793375,37.87,1,12.834,12.581,6.65,21,2.87,0.93,0.191,0.062,41.67,43.26727793375,49.91727793375
11,Akorda,34,901,True,1294.0,1078.0,22.08126405125,0.91846033625,1766.5011241,73.4768269,Calculado,Calculado,104.57972438750001,81.58,1,41.072,39.97,25.35,5,15.58,0.93,1.039,0.062,98.1,104.57972438750001,129.92972438750002
12,Akorda-Bollar,22,901,True,1059.0,1078.0,44.12115105125,0.91846033625,3529.6920841,73.4768269,Calculado,Calculado,90.0696113875,45.03,0,35.684,32.862,0.0,8,41.4,0.93,2.76,0.062,87.37,90.0696113875,90.0696113875
13,Albiz,45,901,True,1266.0,1078.0,51.245595885,0.91846033625,4099.6476708,73.4768269,Calculado,Calculado,104.56405622125001,52.4,0,36.574,34.097,0.0,8,36.22,0.93,2.415,0.062,89.55,104.56405622125001,104.56405622125001
14,Albizuelexaga,11,901,True,1557.0,1004.0,11.0989610625,2.95083712375,887.916885,236.0669699,Calculado,Calculado,101.36979818625,87.32,0,37.937,36.928,0.0,4,13.33,1.8,0.889,0.12,102.45,101.36979818625,101.36979818625
15,Aldai,296,904,True,1191.0,2220.0,2.75881109625,0.90773412,220.7048877,72.6187296,Calculado,Calculado,65.11654521625,61.45,1,19.361,19.09,25.72,7,3.35,0.7,0.223,0.047,65.5,65.11654521625,90.83654521625
16,Aldeacueva,47,902,True,776.0,209.0,97.11262355875,1.58,7769.0098847,106.0,Calculado,Mapeado,182.39262355875002,83.7,2,60.031,56.732,8.85,7,47.9,1.58,3.193,0.106,133.18,182.39262355875002,191.24262355875
17,Aldekona (San Isidro),495,903,True,511.0,2064.0,5.90538161125,2.5,472.4305289,166.0,Calculado,Mapeado,32.62538161125,24.22,0,15.568,15.103,0.0,13,4.48,2.5,0.299,0.166,31.2,32.62538161125,32.62538161125
18,Alen,7,903,True,727.0,278.0,62.151811695000006,4.08,4972.1449356,272.0,Calculado,Mapeado,170.95181169500003,104.72,2,43.412,40.265,31.5,5,43.13,4.08,2.876,0.272,151.93,170.95181169500003,202.45181169500003
19,Algorta,37980,903,True,2088.0,2064.0,11.19846875,2.5,895.8775,166.0,Calculado,Mapeado,36.098468749999995,22.4,0,13.044,12.167,0.0,29,10.67,2.5,0.711,0.166,35.57,36.098468749999995,36.098468749999995
20,Almika,33,901,True,1219.0,1078.0,23.81799743625,0.91846033625,1905.4397949,73.4768269,Calculado,Calculado,90.5364577725,65.8,2,39.404,37.987,8.3,33,20.32,0.93,1.355,0.062,87.05,90.5364577725,98.8364577725
21,Alonsotegi,1827,902,True,893.0,249.0,7.378180111250001,1.52,590.2544089,101.0,Calculado,Mapeado,21.46818011125,12.57,0,7.634,7.333,0.0,32,3.0,1.52,0.2,0.101,17.08,21.46818011125,21.46818011125
22,Altamira-San Kristobal,828,901,True,1103.0,1078.0,37.666453515,0.91846033625,3013.3162812,73.4768269,Calculado,Calculado,85.11491385125001,46.53,1,31.018,29.222,6.07,17,26.02,0.93,1.734,0.062,73.48,85.11491385125001,91.18491385125
23,Altzaga,10645,903,True,525.0,278.0,3.18725554,2.5,254.9804432,166.0,Calculado,Mapeado,56.887255540000005,51.2,1,16.641,16.285,11.87,32,2.83,2.5,0.189,0.166,56.53,56.887255540000005,68.75725554
24,Altzuaga,25,901,True,33541.0,1078.0,35.595885894999995,0.91846033625,2847.6708716,73.4768269,Calculado,Calculado,65.94434623125,29.43,0,23.185,21.803,0.0,35,19.8,0.93,1.32,0.062,50.17,65.94434623125,65.94434623125
25,Altzusta,125,901,True,33541.0,1078.0,3.51549720625,0.91846033625,281.2397765,73.4768269,Calculado,Calculado,33.863957542499996,29.43,0,22.148,21.803,0.0,30,4.23,0.93,0.283,0.062,34.6,33.863957542499996,33.863957542499996
26,Ambasaguas,440,902,True,784.0,209.0,3.10050352,1.58,248.0402816,106.0,Calculado,Mapeado,82.93050352,78.25,2,50.861,50.614,8.85,7,2.12,1.58,0.141,0.106,81.95,82.93050352,91.78050352
27,Ametzaga,91,904,True,1148.0,2220.0,11.47727080125,0.90773412,918.1816641,72.6187296,Calculado,Calculado,41.81500492125,29.43,1,17.086,16.368,1.15,15,10.07,0.7,0.671,0.047,40.2,41.81500492125,42.96500492125
28,Amorebieta,17603,901,True,1073.0,1078.0,2.8749088825,0.91846033625,229.9927106,73.4768269,Calculado,Calculado,15.12336921875,11.33,0,9.176,8.971,0.0,35,2.15,0.93,0.143,0.062,14.42,15.12336921875,15.12336921875
29,Andaparaluzeta,23,901,True,1836.0,1078.0,30.59521040625,0.91846033625,2447.6168325,73.4768269,Calculado,Calculado,75.6336707425,44.12,0,30.015,28.815,0.0,15,17.07,0.93,1.138,0.062,62.12,75.6336707425,75.6336707425
30,Andeko,36,904,True,1191.0,2220.0,9.38155278625,0.90773412,750.5242229,72.6187296,Calculado,Calculado,71.73928690625,61.45,1,19.62,19.09,25.72,5,7.25,0.7,0.483,0.047,69.4,71.73928690625,97.45928690625
31,Andra Mari Getxo,13139,903,True,30.0,2064.0,10.88420359875,2.5,870.7362879,166.0,Calculado,Mapeado,39.45420359875,26.07,0,14.444,13.855,0.0,18,6.35,2.5,0.423,0.166,34.92,39.45420359875,39.45420359875
32,Andra Mari Morga,100,901,True,1706.0,1078.0,2.15254951875,0.91846033625,172.2039615,73.4768269,Calculado,Calculado,29.271009855,26.2,1,14.392,14.21,3.88,4,1.8,0.93,0.12,0.062,28.93,29.271009855,33.151009855
33,Andraka,167,903,True,2106.0,284.0,1.550153175,2.5,124.012254,166.0,Calculado,Mapeado,86.78015317500001,82.73,1,33.355,33.089,24.53,15,1.5,2.5,0.1,0.166,86.73,86.78015317500001,111.31015317500001
34,Apatamonasterio,934,901,True,1479.0,1078.0,5.13797641375,0.91846033625,411.0381131,73.4768269,Calculado,Calculado,53.526436749999995,47.47,0,28.439,28.065,0.0,36,4.68,0.93,0.312,0.062,53.08,53.526436749999995,53.526436749999995
35,Arakaldo,5,901,True,1564.0,1005.0,20.7173559775,1.089115005,1657.3884782,87.1292004,Calculado,Calculado,66.9564709825,45.15,0,21.549,20.875,0.0,27,9.0,1.1,0.601,0.074,55.25,66.9564709825,66.9564709825
36,Arana,1543,901,True,1066.0,1078.0,5.0753008625,0.91846033625,406.024069,73.4768269,Calculado,Calculado,34.623761198749996,28.63,0,22.374,21.984,0.0,16,4.9,0.93,0.327,0.062,34.47,34.623761198749996,34.623761198749996
37,Aranguren,1909,903,True,637.0,283.0,4.11514505625,4.08,329.2116045,272.0,Calculado,Mapeado,40.27514505625,32.08,0,23.459,23.044,0.0,14,2.15,4.08,0.143,0.272,38.32,40.27514505625,40.27514505625
38,Arantxe,81,901,True,1392.0,1078.0,7.495646618749999,0.91846033625,599.6517295,73.4768269,Calculado,Calculado,15.864106954999999,7.45,0,4.738,4.405,0.0,65,4.05,0.93,0.27,0.062,12.43,15.864106954999999,15.864106954999999
39,Arantzazugoiti,32,901,True,1529.0,1078.0,4.746733186249999,0.91846033625,379.7386549,73.4768269,Calculado,Calculado,24.1151935225,18.45,0,12.278,11.949,0.0,31,4.02,0.93,0.267,0.062,23.4,24.1151935225,24.1151935225
40,Arbildu,20,901,True,1316.0,1078.0,9.069443665,0.91846033625,725.5554932,73.4768269,Calculado,Calculado,67.25790400125001,57.27,1,26.809,26.547,10.05,14,2.98,0.93,0.199,0.062,61.18,67.25790400125001,77.30790400125001
41,Arbuio,247,902,True,890.0,249.0,2.22072758625,1.52,177.6582069,101.0,Calculado,Mapeado,18.620727586250002,14.88,0,9.118,8.852,0.0,32,2.48,1.52,0.165,0.101,18.88,18.620727586250002,18.620727586250002
42,Areatza,1245,901,True,1523.0,1078.0,3.34813628,0.91846033625,267.8509024,73.4768269,Calculado,Calculado,27.896596616249997,23.63,0,17.053,16.879,0.0,31,1.67,0.93,0.111,0.062,26.23,27.896596616249997,27.896596616249997
43,Areeta/Las Arenas,25409,903,True,6.0,2064.0,7.27476440375,2.5,581.9811523,166.0,Calculado,Mapeado,31.54476440375,21.77,0,11.434,10.765,0.0,21,7.55,2.5,0.503,0.166,31.82,31.54476440375,31.54476440375
44,Areiltza-Olatzar,76,901,True,1322.0,1078.0,1.56526593375,0.91846033625,125.2212747,73.4768269,Calculado,Calculado,55.853726269999996,53.37,1,24.543,24.363,10.05,11,1.78,0.93,0.119,0.062,56.08,55.853726269999996,65.90372626999999
45,Areitio,35,901,True,1422.0,1078.0,8.7827784675,0.91846033625,702.6222774,73.4768269,Calculado,Calculado,42.75123880375,33.05,1,32.087,31.503,0.4,20,7.82,0.93,0.521,0.062,41.8,42.75123880375,43.15123880375
46,Arenao,7,903,True,1744.0,284.0,9.96026555625,2.53,796.8212445,169.0,Calculado,Mapeado,64.57026555624999,52.08,0,25.028,24.568,0.0,21,4.38,2.53,0.292,0.169,59.0,64.57026555624999,64.57026555624999
47,Arene,487,901,True,1567.0,1005.0,1.6271509600000005,1.089115005,130.1720768,87.1292004,Calculado,Calculado,44.63626596500001,41.92,0,18.927,18.725,0.0,27,1.92,1.1,0.128,0.074,44.93,44.63626596500001,44.63626596500001
48,Aretxalde,544,903,True,463.0,278.0,15.09329468125,2.5,1207.4635745,166.0,Calculado,Mapeado,65.66329468125,48.07,1,21.885,21.558,12.77,19,2.4,2.5,0.16,0.166,52.97,65.66329468125,78.43329468124999
49,Arizgoiti,33744,901,True,196.0,1005.0,4.25314280625,1.089115005,340.2514245,87.1292004,Calculado,Calculado,20.77225781125,15.43,0,8.146,7.867,0.0,68,2.38,1.8,0.159,0.12,19.62,20.77225781125,20.77225781125
50,Arkotxa,900,901,True,1356.0,1005.0,4.8836529275,1.089115005,390.6922342,87.1292004,Calculado,Calculado,15.3027679325,9.33,0,5.068,4.754,0.0,123,3.6,1.1,0.241,0.074,14.03,15.3027679325,15.3027679325
51,Arkulanda,66,901,True,1320.0,1078.0,2.85127564125,0.91846033625,228.1020513,73.4768269,Calculado,Calculado,58.5197359775,54.75,1,25.373,25.145,10.05,11,2.48,0.93,0.165,0.062,58.17,58.5197359775,68.5697359775
52,Armintza,608,903,True,2109.0,2064.0,0.4082983462499999,2.5,32.6638677,166.0,Calculado,Mapeado,92.32829834625001,89.42,2,37.698,37.518,25.43,25,0.2,2.5,0.014,0.166,92.12,92.32829834625001,117.75829834625
53,Armotxerria,48,901,True,1109.0,1078.0,12.05358385875,0.91846033625,964.2867087,73.4768269,Calculado,Calculado,53.222044195,40.25,1,24.752,24.146,6.07,17,8.17,0.93,0.544,0.062,49.35,53.222044195,59.292044195
54,Arraibi,365,901,True,1536.0,1078.0,0.86095978875,0.91846033625,68.8767831,73.4768269,Calculado,Calculado,11.109420125,9.33,0,5.893,5.777,0.0,60,0.82,0.93,0.055,0.062,11.08,11.109420125,11.109420125
55,Arraño,53,901,True,331603.0,1078.0,35.40212754125,0.91846033625,2832.1702033,73.4768269,Calculado,Calculado,48.420587877500004,12.1,0,8.343,7.222,0.0,43,15.88,0.93,1.058,0.062,28.92,48.420587877500004,48.420587877500004
56,Arrazola,58,901,True,2232.0,1078.0,1.21346450125,0.91846033625,97.0771601,73.4768269,Calculado,Calculado,58.7519248375,56.62,1,32.64,32.475,16.25,14,1.55,0.93,0.103,0.062,59.1,58.7519248375,75.0019248375
57,Arriaga,512,903,True,92.0,2064.0,20.58174676875,2.5,1646.5397415,166.0,Calculado,Mapeado,47.351746768750004,24.27,1,11.924,11.258,4.43,11,7.5,2.5,0.5,0.166,34.27,47.351746768750004,51.781746768750004
58,Arrigorriaga,6159,901,True,203.0,1004.0,4.9353690225,2.95083712375,394.8295218,236.0669699,Calculado,Calculado,36.40620614625,28.52,0,11.966,11.691,0.0,36,2.32,1.8,0.155,0.12,32.63,36.40620614625,36.40620614625
59,Arta,30,901,True,999.0,1078.0,43.77141175625,0.91846033625,3501.7129405,73.4768269,Calculado,Calculado,82.3698720925,37.68,0,37.246,36.079,0.0,15,16.57,0.93,1.105,0.062,55.18,82.3698720925,82.3698720925
60,Artatza,925,904,True,41.0,2219.0,7.132207124999999,0.79330144375,570.57657,63.4641155,Calculado,Calculado,32.07550856875,24.15,0,10.925,10.529,0.0,15,5.0,0.93,0.334,0.062,30.08,32.07550856875,32.07550856875
61,Artatzagana,1185,904,True,2150.0,1594.0,1.05851567875,6.41921255125,84.6812543,513.5370041,Calculado,Calculado,30.02772823,22.55,0,11.15,10.703,0.0,22,0.87,5.85,0.058,0.39,29.27,30.02772823,30.02772823
62,Arteaga (San Martin),2381,903,True,466.0,2064.0,2.00973798375,2.5,160.7790387,166.0,Calculado,Mapeado,44.83973798375,40.33,1,16.808,16.495,12.77,15,2.2,2.5,0.146,0.166,45.03,44.83973798375,57.609737983749994
63,Arteaga Derio,3761,903,True,512.0,2064.0,15.53450215,2.5,1242.760172,166.0,Calculado,Mapeado,39.90450215,21.87,0,15.093,14.314,0.0,13,9.18,2.5,0.612,0.166,33.55,39.90450215,39.90450215
64,Aspiuntza,30,901,True,1348.0,1005.0,53.8101867725,1.089115005,4304.8149418,87.1292004,Calculado,Calculado,88.1493017775,33.25,0,16.077,13.877,0.0,40,31.9,1.1,2.126,0.074,66.25,88.1493017775,88.1493017775
65,Asteitza,45,901,True,1394.0,1078.0,5.4229442325,0.91846033625,433.8355386,73.4768269,Calculado,Calculado,10.46140456875,4.12,0,3.019,2.532,0.0,65,6.37,0.93,0.424,0.062,11.42,10.46140456875,10.46140456875
66,Astepe,50,901,True,1388.0,1078.0,1.8441773825,0.91846033625,147.5341906,73.4768269,Calculado,Calculado,15.59263771875,12.83,0,8.74,8.587,0.0,30,1.35,0.93,0.09,0.062,15.12,15.59263771875,15.59263771875
67,Asterria,43,901,True,2174.0,1078.0,30.140410107500003,0.91846033625,2411.2328086,73.4768269,Calculado,Calculado,56.588870443750004,25.53,0,19.1,18.178,0.0,34,12.88,0.93,0.859,0.062,39.35,56.588870443750004,56.588870443750004
68,Asterrika,28,901,True,1490.0,1078.0,37.09289674875,0.91846033625,2967.4317399,73.4768269,Calculado,Calculado,98.941357085,60.93,0,51.763,50.987,0.0,15,10.7,0.93,0.713,0.062,72.57,98.941357085,98.941357085
69,Astrabudua,10312,903,True,56.0,283.0,11.02825626875,4.08,882.2605015,272.0,Calculado,Mapeado,49.158256268749994,34.05,2,13.563,12.764,4.17,31,7.9,4.08,0.527,0.272,46.03,49.158256268749994,53.328256268749996
70,Atxondoa,53,901,True,1107.0,1078.0,3.624252665,0.91846033625,289.9402132,73.4768269,Calculado,Calculado,46.67271300125,42.13,1,25.376,25.132,6.07,17,2.73,0.93,0.182,0.062,45.8,46.67271300125,52.74271300125
71,Atxuri,155,904,True,1631.0,2220.0,9.44478875,0.90773412,755.5831,72.6187296,Calculado,Calculado,28.832522870000002,18.48,0,12.144,11.378,0.0,15,10.8,0.7,0.719,0.047,29.98,28.832522870000002,28.832522870000002
72,Aulesti,372,901,True,1257.0,1078.0,3.84506127,0.91846033625,307.6049016,73.4768269,Calculado,Calculado,72.41352160625001,67.65,0,44.102,43.838,0.0,8,3.03,0.93,0.202,0.062,71.62,72.41352160625001,72.41352160625001
73,Axpe-San Bartolome,787,901,True,1101.0,1078.0,1.0279030275,0.91846033625,82.2322422,73.4768269,Calculado,Calculado,51.49636336375,49.55,1,31.054,30.903,6.07,17,1.33,0.93,0.089,0.062,51.82,51.49636336375,57.56636336375
74,Azurreka,33,901,True,1536.0,1078.0,9.93493330375,0.91846033625,794.7946643,73.4768269,Calculado,Calculado,20.18339364,9.33,0,6.402,5.777,0.0,64,8.45,0.93,0.563,0.062,18.72,20.18339364,20.18339364
75,Bakixa,22,901,True,1413.0,1078.0,29.231624,0.91846033625,2338.52992,73.4768269,Calculado,Calculado,52.400084336249996,22.25,0,17.478,16.37,0.0,38,15.68,0.93,1.046,0.062,38.87,52.400084336249996,52.400084336249996
76,Baldatika,32,901,True,1109.0,1078.0,38.3176875575,0.91846033625,3065.4150046,73.4768269,Calculado,Calculado,79.48614789375,40.25,1,26.355,24.146,6.07,17,32.2,0.93,2.147,0.062,73.38,79.48614789375,85.55614789375
77,Balmaseda,7575,903,True,679.0,283.0,14.31589673125,4.08,1145.2717385,272.0,Calculado,Mapeado,69.81589673124999,51.42,0,37.451,36.624,0.0,14,8.33,4.08,0.556,0.272,63.83,69.81589673124999,69.81589673124999
78,Barainka,6,901,True,1047.0,1078.0,19.47149238625,0.91846033625,1557.7193909,73.4768269,Calculado,Calculado,91.23995272249999,70.85,0,50.226,48.807,0.0,8,20.35,0.93,1.357,0.062,92.13,91.23995272249999,91.23995272249999
79,Baratz Eder,89,901,True,1219.0,1078.0,9.524628675,0.91846033625,761.970294,73.4768269,Calculado,Calculado,73.09308901125,62.65,1,38.359,37.304,6.07,17,14.9,0.93,0.993,0.062,78.48,73.09308901125,79.16308901125001
80,Bargondia,56,901,True,1975.0,1078.0,45.26120641875,0.91846033625,3620.8965135,73.4768269,Calculado,Calculado,73.649666755,27.47,0,16.71,15.741,0.0,15,13.6,0.93,0.907,0.062,42.0,73.649666755,73.649666755
81,Basauntz,59,901,True,1532.0,1078.0,10.751323935,0.91846033625,860.1059148,73.4768269,Calculado,Calculado,26.34978427125,14.68,0,9.964,9.793,0.0,37,1.63,0.93,0.109,0.062,17.25,26.34978427125,26.34978427125
82,Baserri-Santa Ana,2494,904,True,2077.0,2219.0,4.91335080375,0.79330144375,393.0680643,63.4641155,Calculado,Calculado,22.856652247499998,17.15,0,7.056,6.736,0.0,15,3.88,0.93,0.258,0.062,21.97,22.856652247499998,22.856652247499998
83,Basetxeta-Atxoste,24,901,True,1059.0,1078.0,16.383018817499998,0.91846033625,1310.6415054,73.4768269,Calculado,Calculado,62.33147915375,45.03,0,34.062,32.862,0.0,8,17.07,0.93,1.137,0.062,63.03,62.33147915375,62.33147915375
84,Basozabal,3737,903,True,475.0,2064.0,1.154984505,2.5,92.3987604,166.0,Calculado,Mapeado,21.574984505000003,17.92,0,11.612,11.35,0.0,13,1.45,2.5,0.096,0.166,21.87,21.574984505000003,21.574984505000003
85,Batiz,37,904,True,1192.0,2220.0,25.36070007375,0.90773412,2028.8560059,72.6187296,Calculado,Calculado,85.14843419375,58.88,1,18.198,17.539,25.72,5,9.18,0.7,0.612,0.047,68.77,85.14843419375,110.86843419375
86,Bedaroa,38,901,True,1862.0,1078.0,0.7940414474999999,0.91846033625,63.5233158,73.4768269,Calculado,Calculado,70.16250178375002,68.45,0,47.115,47.014,0.0,8,0.58,0.93,0.038,0.062,69.97,70.16250178375002,70.16250178375002
87,Begoñako Ama,35,904,True,7.0,2219.0,7.14562119,0.79330144375,571.6496952,63.4641155,Calculado,Calculado,48.538922633750005,40.6,1,13.902,13.505,6.65,21,5.02,0.93,0.334,0.062,46.55,48.538922633750005,55.18892263375
